	condition
vehicle_1	noestrogen_vehicle
vehicle_2	noestrogen_vehicle
vehicle_3	noestrogen_vehicle
estrogen_1	estrogen_vehicle
estrogen_2	estrogen_vehicle
estrogen_3	estrogen_vehicle
talc_1	noestrogen_talc
talc_2	noestrogen_talc
talc_3	noestrogen_talc
talc_estrogen_1	estrogen_talc
talc_estrogen_2	estrogen_talc
talc_estrogen_3	estrogen_talc
titanium_1	noestrogen_titanium
titanium_2	noestrogen_titanium
titanium_3	noestrogen_titanium
titanium_estrogen_1	estrogen_titanium
titanium_estrogen_2	estrogen_titanium
titanium_estrogen_3	estrogen_titanium
