sample	control	treatment	hormone	group	file
1	vehicle	none	noestrogen	noestrogen.none	alignmnents_ignore/1_S1_L001_R1_001_trimmed_bismark_bt2.bismark.cov
2	vehicle	none	noestrogen	noestrogen.none	alignmnents_ignore/2_S2_L001_R1_001_trimmed_bismark_bt2.bismark.cov
3	vehicle	none	noestrogen	noestrogen.none	alignmnents_ignore/3_S3_L001_R1_001_trimmed_bismark_bt2.bismark.cov
4	nothing	none	estrogen	estrogen.none	alignmnents_ignore/4_S4_L001_R1_001_trimmed_bismark_bt2.bismark.cov
5	nothing	none	estrogen	estrogen.none	alignmnents_ignore/5_S5_L001_R1_001_trimmed_bismark_bt2.bismark.cov
6	nothing	none	estrogen	estrogen.none	alignmnents_ignore/6_S6_L001_R1_001_trimmed_bismark_bt2.bismark.cov
7	experiment	talc	noestrogen	noestrogen.talc	alignmnents_ignore/7_S7_L001_R1_001_trimmed_bismark_bt2.bismark.cov
8	experiment	talc	noestrogen	noestrogen.talc	alignmnents_ignore/8_S8_L001_R1_001_trimmed_bismark_bt2.bismark.cov
9	experiment	talc	noestrogen	noestrogen.talc	alignmnents_ignore/9_S9_L001_R1_001_trimmed_bismark_bt2.bismark.cov
10	experiment	talc	estrogen	estrogen.talc	alignmnents_ignore/10_S10_L001_R1_001_trimmed_bismark_bt2.bismark.cov
11	experiment	talc	estrogen	estrogen.talc	alignmnents_ignore/11_S11_L001_R1_001_trimmed_bismark_bt2.bismark.cov
12	experiment	talc	estrogen	estrogen.talc	alignmnents_ignore/12_S12_L001_R1_001_trimmed_bismark_bt2.bismark.cov
13	experiment	titanium	noestrogen	noestrogen.titanium	alignmnents_ignore/13_S13_L001_R1_001_trimmed_bismark_bt2.bismark.cov
14	experiment	titanium	noestrogen	noestrogen.titanium	alignmnents_ignore/14_S14_L001_R1_001_trimmed_bismark_bt2.bismark.cov
15	experiment	titanium	noestrogen	noestrogen.titanium	alignmnents_ignore/15_S15_L001_R1_001_trimmed_bismark_bt2.bismark.cov
16	experiment	titanium	estrogen	estrogen.titanium	alignmnents_ignore/16_S16_L001_R1_001_trimmed_bismark_bt2.bismark.cov
17	experiment	titanium	estrogen	estrogen.titanium	alignmnents_ignore/17_S17_L001_R1_001_trimmed_bismark_bt2.bismark.cov
18	experiment	titanium	estrogen	estrogen.titanium	alignmnents_ignore/18_S18_L001_R1_001_trimmed_bismark_bt2.bismark.cov
